eval_id,mapping_file,eval_row_id,eval_model_label,llm_chess_player,eval_variant_label,mapping_status,review_status,confidence,provider_group,provider_group_source,provider_group_confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,source_llm_chess_model
eci,eci.csv,eci:0131,Amazon Nova Pro,amazon.nova-pro-v1,Amazon Nova Pro,accepted,reviewed_2026_07_eci_refresh,high,Amazon,llm_chess_inventory,high,Amazon,epoch_eci_refresh_2026_07,,unknown,,not_reasoning,,,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh (Epoch backfill). Amazon Nova Pro maps to amazon.nova-pro-v1, the single Nova Pro entry in elo_refined.csv; the sibling Nova Lite and Nova Premier rows are distinct product tiers and are not candidates. Nova Pro is a non-reasoning model with no effort tiers on either side, so no reasoning clause applies.","amazon.nova-pro-v1 has 33 LLM Chess games but no rated Elo (elo is null), so this row joins the non-Elo metric sample only and is dropped from every Elo correlation.",cross_ref_eci_refresh_2026_07,
eci,eci.csv,eci:0142,Claude 2,claude-2,Claude 2,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude,legacy_bridge_column,,unknown,,not_reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-2
eci,eci.csv,eci:0146,Claude 2.1,claude-2-1,Claude 2.1,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude 2,legacy_bridge_column,,unknown,,not_reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-2-1
bullshit_bench,bullshit_bench.csv,bullshit_bench:0044:anthropic_claude_3_5_haiku_reasoning_default,anthropic/claude-3.5-haiku@reasoning=default,claude-3-5-haiku,anthropic/claude-3.5-haiku@reasoning=default,alias,reviewed_2026_05,high,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=default,unknown,,not_reasoning,,name_alias,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-3.5-haiku is the same model as elo claude-3-5-haiku.,,cross_ref_bullshit_bench_2026_05,
eci,eci.csv,eci:0121,Claude 3.5 Haiku,claude-3-5-haiku,Claude 3.5 Haiku,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude 3,legacy_bridge_column,,unknown,,not_reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-3-5-haiku
bullshit_bench,bullshit_bench.csv,bullshit_bench:0048:anthropic_claude_3_5_sonnet_reasoning_default,anthropic/claude-3.5-sonnet@reasoning=default,claude-3-5-sonnet,anthropic/claude-3.5-sonnet@reasoning=default,alias,reviewed_2026_05,high,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=default,unknown,,not_reasoning,,name_alias,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-3.5-sonnet is the same model as elo claude-3-5-sonnet.,,cross_ref_bullshit_bench_2026_05,
eci,eci.csv,eci:0111,Claude 3.5 Sonnet,claude-3-5-sonnet,Claude 3.5 Sonnet,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude 3,legacy_bridge_column,,unknown,,not_reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-3-5-sonnet
eci,eci.csv,eci:0099,Claude 3.5 Sonnet (October 2024),claude-3-5-sonnet-v2,Claude 3.5 Sonnet (October 2024),accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude 3,legacy_bridge_column,,unknown,,not_reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-3-5-sonnet-v2
arc_agi_2,arc_agi_2.csv,arc_agi_2:0163:claude_3_7,Claude 3.7,claude-3-7-sonnet,Claude 3.7,variant-compatible,qa_passed,medium,Anthropic,llm_chess_inventory,high,Anthropic,2025-02-24,,unknown,,not_reasoning,,,arc_leaderboard_row; model_identity_review; llm_chess_inventory,Current llm_chess family only exposes the Sonnet row; ARC label is family shorthand.,,published_mapping_review,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0053:anthropic_claude_3_7_sonnet_reasoning_default,anthropic/claude-3.7-sonnet@reasoning=default,claude-3-7-sonnet,anthropic/claude-3.7-sonnet@reasoning=default,alias,reviewed_2026_05,high,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=default,unknown,,not_reasoning,,name_alias,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-3.7-sonnet is the same model as elo claude-3-7-sonnet.,,cross_ref_bullshit_bench_2026_05,
