source_row_index,model,provider,rs_at_2,rs_at_4,rs_at_6,rs_at_8,rs_at_10,rs_at_12,rs_at_14,rs_at_16,rs_at_18,rs_at_20,eval_id,eval_row_id,eval_model_label,eval_variant_label,rs_mean,rs_degradation,score_numeric,score_label,llm_chess_player,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,has_numeric_score,made_accepted_mapping,joined_llm_chess_metric_row,made_metric_sample_pre_dedupe,survived_metric_dedupe,joined_llm_chess_row_with_non_null_elo,survived_elo_dedupe,metric_dedupe_kept_eval_row_id,elo_dedupe_kept_eval_row_id,has_llm_chess_match,has_llm_chess_elo,metric_drop_stage,metric_drop_side,metric_drop_reason,elo_drop_stage,elo_drop_side,elo_drop_reason,first_failed_stage,first_failed_side,first_failed_reason,provider_or_family_inferred
0,Gemini 3.1 Pro,Google,96.8,93.5,91.4,88.9,86.6,83.9,82.2,81.2,80.9,80.9,delegate_52,delegate_52:0000:gemini_3_1_pro,Gemini 3.1 Pro,Gemini 3.1 Pro,86.63000000000001,15.899999999999991,80.9,DELEGATE-52 RS@20,gemini-3.1-pro-preview,variant-compatible,reviewed_2026_05,medium,google,delegate_52_2026_04,config_unspecified,unknown,,reasoning,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'Gemini 3.1 Pro' is the same model as elo gemini-3.1-pro-preview; reasoning/thinking config not stated by the paper.,Exact thinking config in paper Appendix L (not extracted).,cross_ref_delegate_52_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Google
1,Claude 4.6 Opus,Anthropic,94.2,90.1,86.8,82.5,79.5,78.0,76.3,75.2,74.3,73.1,delegate_52,delegate_52:0001:claude_4_6_opus,Claude 4.6 Opus,Claude 4.6 Opus,81.0,21.10000000000001,73.1,DELEGATE-52 RS@20,claude-opus-4-6,variant-compatible,reviewed_2026_05,medium,anthropic,delegate_52_2026_04,config_unspecified,unknown,,not_reasoning,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'Claude 4.6 Opus' maps to elo claude-opus-4-6 (base run); extended-thinking status not stated by the paper.,Paper does not say whether extended thinking was enabled; claude-opus-4-6 has no Elo in elo_refined.csv so it drops from the Elo sample (stays in the metric sample).,cross_ref_delegate_52_2026_05,True,True,True,True,True,False,False,,,True,False,,,,rows_joined_to_llm_chess_rows_with_non_null_elo,chess,The mapped LLM Chess player exists in the LLM Chess inputs but its Elo is missing.,rows_joined_to_llm_chess_rows_with_non_null_elo,chess,The mapped LLM Chess player exists in the LLM Chess inputs but its Elo is missing.,Anthropic
2,GPT 5.4,OpenAI,94.3,89.3,85.4,82.0,79.4,76.4,74.6,73.1,72.1,71.5,delegate_52,delegate_52:0002:gpt_5_4,GPT 5.4,GPT 5.4,79.81,22.799999999999997,71.5,DELEGATE-52 RS@20,gpt-5.4-medium,variant-compatible,reviewed_2026_05,medium,openai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,medium,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,Base GPT-5.4; tier convention maps base GPT-5.x to the -medium representative reasoning tier.,Reasoning effort not stated by the paper; elo gpt-5.4 tiers are low/medium.,cross_ref_delegate_52_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
3,Claude 4.6 Sonnet,Anthropic,92.2,85.7,81.8,78.2,74.9,71.7,70.2,69.1,66.9,66.0,delegate_52,delegate_52:0003:claude_4_6_sonnet,Claude 4.6 Sonnet,Claude 4.6 Sonnet,75.66999999999999,26.200000000000003,66.0,DELEGATE-52 RS@20,claude-sonnet-4-6,variant-compatible,reviewed_2026_05,medium,anthropic,delegate_52_2026_04,config_unspecified,unknown,,not_reasoning,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'Claude 4.6 Sonnet' maps to elo claude-sonnet-4-6 (base run); extended-thinking status not stated by the paper.,Paper does not say whether extended thinking was enabled; mapped to base run (a thinking-high run also exists in elo).,cross_ref_delegate_52_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Anthropic
4,GPT 5.2,OpenAI,92.7,86.9,82.2,77.9,74.4,71.6,70.0,68.5,67.1,66.1,delegate_52,delegate_52:0004:gpt_5_2,GPT 5.2,GPT 5.2,75.74000000000001,26.60000000000001,66.1,DELEGATE-52 RS@20,gpt-5.2-medium,variant-compatible,reviewed_2026_05,medium,openai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,medium,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,Base GPT-5.2; tier convention maps base GPT-5.x to the -medium representative reasoning tier.,Reasoning effort not stated by the paper; elo gpt-5.2 tiers are low/medium plus gpt-5.2-chat.,cross_ref_delegate_52_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
5,GPT 5.1,OpenAI,90.8,82.8,78.0,74.0,69.9,66.7,64.9,62.9,61.7,60.5,delegate_52,delegate_52:0005:gpt_5_1,GPT 5.1,GPT 5.1,71.22,30.299999999999997,60.5,DELEGATE-52 RS@20,gpt-5.1-medium,variant-compatible,reviewed_2026_05,medium,openai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,medium,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,Base GPT-5.1; tier convention maps base GPT-5.x to the -medium representative reasoning tier.,Reasoning effort not stated by the paper; elo gpt-5.1 tiers are low/medium plus gpt-5.1-chat.,cross_ref_delegate_52_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
6,Kimi K2.5,Moonshot,91.1,86.1,83.0,75.6,73.3,70.0,68.8,66.4,64.9,64.1,delegate_52,delegate_52:0006:kimi_k2_5,Kimi K2.5,Kimi K2.5,74.33,27.0,64.1,DELEGATE-52 RS@20,kimi-k2.5,variant-compatible,reviewed_2026_05,medium,moonshotai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'Kimi K2.5' is the same model as elo kimi-k2.5; reasoning config not stated by the paper.,Single kimi-k2.5 run in elo; effort/config unspecified by the paper.,cross_ref_delegate_52_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Moonshot
7,GPT 5,OpenAI,91.5,80.9,71.6,66.3,62.1,58.5,55.9,53.3,51.4,48.3,delegate_52,delegate_52:0007:gpt_5,GPT 5,GPT 5,63.98,43.2,48.3,DELEGATE-52 RS@20,gpt-5-medium,variant-compatible,reviewed_2026_05,medium,openai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,medium,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,Base GPT-5; tier convention maps base GPT-5.x to the -medium representative reasoning tier.,Reasoning effort not stated by the paper; elo gpt-5 tiers are low/medium plus gpt-5-chat.,cross_ref_delegate_52_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
8,Grok 4,xAI,91.7,85.4,78.5,74.0,69.0,67.2,65.4,62.1,61.4,59.3,delegate_52,delegate_52:0008:grok_4,Grok 4,Grok 4,71.4,32.400000000000006,59.3,DELEGATE-52 RS@20,,unmatched,reviewed_2026_05,none,x-ai,delegate_52_2026_04,,unknown,,,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,"DELEGATE-52 'Grok 4' is the original Grok 4 release; elo has grok-4-20 (a distinct later revision) and grok-4-fast/grok-4-1-fast, none of which is the same model.",No plain grok-4 in elo_refined.csv; grok-4-20 is a different release and is not treated as the same model.,cross_ref_delegate_52_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",xAI
9,GPT 4.1,OpenAI,88.9,79.8,70.9,67.7,62.2,56.8,54.8,51.7,49.8,49.5,delegate_52,delegate_52:0009:gpt_4_1,GPT 4.1,GPT 4.1,63.21,39.400000000000006,49.5,DELEGATE-52 RS@20,gpt-4.1,alias,reviewed_2026_05,high,openai,delegate_52_2026_04,,not_reasoning,,not_reasoning,,name_alias,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'GPT 4.1' is the same model as elo gpt-4.1 (non-reasoning; no tier ambiguity).,,cross_ref_delegate_52_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
