eval_id,eval_row_id,eval_model_label,llm_chess_player,eval_variant_label,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer
delegate_52,delegate_52:0000:gemini_3_1_pro,Gemini 3.1 Pro,gemini-3.1-pro-preview,Gemini 3.1 Pro,variant-compatible,reviewed_2026_05,medium,google,delegate_52_2026_04,config_unspecified,unknown,,reasoning,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'Gemini 3.1 Pro' is the same model as elo gemini-3.1-pro-preview; reasoning/thinking config not stated by the paper.,Exact thinking config in paper Appendix L (not extracted).,cross_ref_delegate_52_2026_05
delegate_52,delegate_52:0001:claude_4_6_opus,Claude 4.6 Opus,claude-opus-4-6,Claude 4.6 Opus,variant-compatible,reviewed_2026_05,medium,anthropic,delegate_52_2026_04,config_unspecified,unknown,,not_reasoning,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'Claude 4.6 Opus' maps to elo claude-opus-4-6 (base run); extended-thinking status not stated by the paper.,Paper does not say whether extended thinking was enabled; claude-opus-4-6 has no Elo in elo_refined.csv so it drops from the Elo sample (stays in the metric sample).,cross_ref_delegate_52_2026_05
delegate_52,delegate_52:0002:gpt_5_4,GPT 5.4,gpt-5.4-medium,GPT 5.4,variant-compatible,reviewed_2026_05,medium,openai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,medium,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,Base GPT-5.4; tier convention maps base GPT-5.x to the -medium representative reasoning tier.,Reasoning effort not stated by the paper; elo gpt-5.4 tiers are low/medium.,cross_ref_delegate_52_2026_05
delegate_52,delegate_52:0003:claude_4_6_sonnet,Claude 4.6 Sonnet,claude-sonnet-4-6,Claude 4.6 Sonnet,variant-compatible,reviewed_2026_05,medium,anthropic,delegate_52_2026_04,config_unspecified,unknown,,not_reasoning,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'Claude 4.6 Sonnet' maps to elo claude-sonnet-4-6 (base run); extended-thinking status not stated by the paper.,Paper does not say whether extended thinking was enabled; mapped to base run (a thinking-high run also exists in elo).,cross_ref_delegate_52_2026_05
delegate_52,delegate_52:0004:gpt_5_2,GPT 5.2,gpt-5.2-medium,GPT 5.2,variant-compatible,reviewed_2026_05,medium,openai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,medium,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,Base GPT-5.2; tier convention maps base GPT-5.x to the -medium representative reasoning tier.,Reasoning effort not stated by the paper; elo gpt-5.2 tiers are low/medium plus gpt-5.2-chat.,cross_ref_delegate_52_2026_05
delegate_52,delegate_52:0005:gpt_5_1,GPT 5.1,gpt-5.1-medium,GPT 5.1,variant-compatible,reviewed_2026_05,medium,openai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,medium,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,Base GPT-5.1; tier convention maps base GPT-5.x to the -medium representative reasoning tier.,Reasoning effort not stated by the paper; elo gpt-5.1 tiers are low/medium plus gpt-5.1-chat.,cross_ref_delegate_52_2026_05
delegate_52,delegate_52:0006:kimi_k2_5,Kimi K2.5,kimi-k2.5,Kimi K2.5,variant-compatible,reviewed_2026_05,medium,moonshotai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'Kimi K2.5' is the same model as elo kimi-k2.5; reasoning config not stated by the paper.,Single kimi-k2.5 run in elo; effort/config unspecified by the paper.,cross_ref_delegate_52_2026_05
delegate_52,delegate_52:0007:gpt_5,GPT 5,gpt-5-medium,GPT 5,variant-compatible,reviewed_2026_05,medium,openai,delegate_52_2026_04,config_unspecified,unknown,,reasoning,medium,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,Base GPT-5; tier convention maps base GPT-5.x to the -medium representative reasoning tier.,Reasoning effort not stated by the paper; elo gpt-5 tiers are low/medium plus gpt-5-chat.,cross_ref_delegate_52_2026_05
delegate_52,delegate_52:0008:grok_4,Grok 4,,Grok 4,unmatched,reviewed_2026_05,none,x-ai,delegate_52_2026_04,,unknown,,,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,"DELEGATE-52 'Grok 4' is the original Grok 4 release; elo has grok-4-20 (a distinct later revision) and grok-4-fast/grok-4-1-fast, none of which is the same model.",No plain grok-4 in elo_refined.csv; grok-4-20 is a different release and is not treated as the same model.,cross_ref_delegate_52_2026_05
delegate_52,delegate_52:0009:gpt_4_1,GPT 4.1,gpt-4.1,GPT 4.1,alias,reviewed_2026_05,high,openai,delegate_52_2026_04,,not_reasoning,,not_reasoning,,name_alias,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'GPT 4.1' is the same model as elo gpt-4.1 (non-reasoning; no tier ambiguity).,,cross_ref_delegate_52_2026_05
