eval_id,eval_row_id,eval_model_label,llm_chess_player,eval_variant_label,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer
bullshit_bench,bullshit_bench:0000:anthropic_claude_opus_4_8_reasoning_none,anthropic/claude-opus-4.8@reasoning=none,,anthropic/claude-opus-4.8@reasoning=none,unmatched,reviewed_2026_05,none,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench anthropic/claude-opus-4.8 reasoning=none.,No Claude Opus 4.8 in elo_refined.csv (newest opus is 4.7).,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0001:anthropic_claude_opus_4_8_reasoning_xhigh,anthropic/claude-opus-4.8@reasoning=xhigh,,anthropic/claude-opus-4.8@reasoning=xhigh,unmatched,reviewed_2026_05,none,anthropic,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench anthropic/claude-opus-4.8 reasoning=xhigh.,No Claude Opus 4.8 in elo_refined.csv (newest opus is 4.7).,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0002:anthropic_claude_sonnet_4_6_reasoning_high,anthropic/claude-sonnet-4.6@reasoning=high,claude-sonnet-4-6_thinking-high,anthropic/claude-sonnet-4.6@reasoning=high,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking-high,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-sonnet-4.6 reasoning=high maps to elo claude-sonnet-4-6_thinking-high with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0003:anthropic_claude_sonnet_4_6_reasoning_none,anthropic/claude-sonnet-4.6@reasoning=none,claude-sonnet-4-6,anthropic/claude-sonnet-4.6@reasoning=none,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-sonnet-4.6 reasoning=none maps to elo claude-sonnet-4-6 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0004:anthropic_claude_opus_4_5_reasoning_high,anthropic/claude-opus-4.5@reasoning=high,claude-opus-4-5-20251101_thinking_16000,anthropic/claude-opus-4.5@reasoning=high,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,,thinking_16000,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.5 reasoning=high maps to elo claude-opus-4-5-20251101_thinking_16000 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0005:anthropic_claude_opus_4_6_reasoning_high,anthropic/claude-opus-4.6@reasoning=high,claude-opus-4-6_thinking-high,anthropic/claude-opus-4.6@reasoning=high,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking-high,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.6 reasoning=high maps to elo claude-opus-4-6_thinking-high with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0006:anthropic_claude_opus_4_6_reasoning_none,anthropic/claude-opus-4.6@reasoning=none,claude-opus-4-6,anthropic/claude-opus-4.6@reasoning=none,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.6 reasoning=none maps to elo claude-opus-4-6 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0007:anthropic_claude_opus_4_7_reasoning_none,anthropic/claude-opus-4.7@reasoning=none,,anthropic/claude-opus-4.7@reasoning=none,unmatched,reviewed_2026_05,none,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench anthropic/claude-opus-4.7 reasoning=none.,none row has no non-reasoning opus-4.7 counterpart; max mapped to the adaptive-thinking-high run (effort label differs).,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0008:qwen_qwen3_5_397b_a17b_reasoning_high,qwen/qwen3.5-397b-a17b@reasoning=high,,qwen/qwen3.5-397b-a17b@reasoning=high,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.5-397b-a17b reasoning=high.,"Only a 9B qwen3.5 distill in elo, not the hosted 397B-A17B model.",cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0009:anthropic_claude_sonnet_4_5_reasoning_high,anthropic/claude-sonnet-4.5@reasoning=high,claude-sonnet-4-5_thinking_16000,anthropic/claude-sonnet-4.5@reasoning=high,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking_16000,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-sonnet-4.5 reasoning=high maps to elo claude-sonnet-4-5_thinking_16000 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0010:anthropic_claude_opus_4_5_reasoning_none,anthropic/claude-opus-4.5@reasoning=none,claude-opus-4-5,anthropic/claude-opus-4.5@reasoning=none,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.5 reasoning=none maps to elo claude-opus-4-5 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0011:anthropic_claude_haiku_4_5_reasoning_high,anthropic/claude-haiku-4.5@reasoning=high,claude-haiku-4-5_thinking_16000,anthropic/claude-haiku-4.5@reasoning=high,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking_16000,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-haiku-4.5 reasoning=high maps to elo claude-haiku-4-5_thinking_16000 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0012:anthropic_claude_haiku_4_5_reasoning_none,anthropic/claude-haiku-4.5@reasoning=none,claude-haiku-4-5,anthropic/claude-haiku-4.5@reasoning=none,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-haiku-4.5 reasoning=none maps to elo claude-haiku-4-5 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0013:anthropic_claude_opus_4_7_reasoning_max,anthropic/claude-opus-4.7@reasoning=max,claude-opus-4-7_adaptive-thinking-high,anthropic/claude-opus-4.7@reasoning=max,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=max,reasoning_or_configured,max,reasoning,thinking-high,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.7 reasoning=max maps to elo claude-opus-4-7_adaptive-thinking-high with a reasoning-config caveat.,none row has no non-reasoning opus-4.7 counterpart; max mapped to the adaptive-thinking-high run (effort label differs).,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0014:anthropic_claude_sonnet_4_5_reasoning_none,anthropic/claude-sonnet-4.5@reasoning=none,claude-sonnet-4-5,anthropic/claude-sonnet-4.5@reasoning=none,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-sonnet-4.5 reasoning=none maps to elo claude-sonnet-4-5 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0015:qwen_qwen3_7_max_reasoning_none,qwen/qwen3.7-max@reasoning=none,,qwen/qwen3.7-max@reasoning=none,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.7-max reasoning=none.,No qwen3.7 family in elo_refined.csv.,cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0016:qwen_qwen3_6_plus_reasoning_none,qwen/qwen3.6-plus@reasoning=none,,qwen/qwen3.6-plus@reasoning=none,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.6-plus reasoning=none.,"Only a local 27B qwen3.6 quant in elo, not the hosted Plus model.",cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0017:qwen_qwen3_5_397b_a17b_reasoning_none,qwen/qwen3.5-397b-a17b@reasoning=none,,qwen/qwen3.5-397b-a17b@reasoning=none,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.5-397b-a17b reasoning=none.,"Only a 9B qwen3.5 distill in elo, not the hosted 397B-A17B model.",cross_ref_bullshit_bench_2026_05
bullshit_bench,bullshit_bench:0018:qwen_qwen3_max_thinking_reasoning_high,qwen/qwen3-max-thinking@reasoning=high,,qwen/qwen3-max-thinking@reasoning=high,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3-max-thinking reasoning=high.,"qwen-max in elo is the older non-reasoning Qwen-Max, not Qwen3-Max-Thinking.",cross_ref_bullshit_bench_2026_05
