source_row_index,Model,Score,90% CI,llm_chess_model,eci_ci_low,eci_ci_high,eci_ci90_half_width,eval_id,eval_row_id,eval_model_label,eval_variant_label,score_numeric,score_label,source_llm_chess_model,llm_chess_player,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,source_llm_chess_model_mapping,has_numeric_score,made_accepted_mapping,joined_llm_chess_metric_row,made_metric_sample_pre_dedupe,survived_metric_dedupe,joined_llm_chess_row_with_non_null_elo,survived_elo_dedupe,metric_dedupe_kept_eval_row_id,elo_dedupe_kept_eval_row_id,has_llm_chess_match,has_llm_chess_elo,metric_drop_stage,metric_drop_side,metric_drop_reason,elo_drop_stage,elo_drop_side,elo_drop_reason,first_failed_stage,first_failed_side,first_failed_reason
0,GPT-5.6 Sol,162,(159 - 166),,159.0,166.0,3.5,eci,eci:0000,GPT-5.6 Sol,GPT-5.6 Sol,162,ECI,,gpt-5.6-sol-2026-07-09-high,accepted,reviewed_2026_07_eci_refresh,review-medium,GPT-5,epoch_eci_refresh_2026_07,,unknown,,reasoning,high,assume-highest,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. ECI publishes no reasoning effort, so clause 1 (assume-highest) applies: mapped to gpt-5.6-sol-2026-07-09-high, the highest GPT-5.6 Sol tier in elo_refined.csv (available tiers are medium and high).","Effort is assumed, not sourced: Epoch does not publish the reasoning effort behind the ECI GPT-5.6 Sol run.",cross_ref_eci_refresh_2026_07,,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
1,GPT-5.5 Pro,161,(158 - 164),,158.0,164.0,3.0,eci,eci:0001,GPT-5.5 Pro,GPT-5.5 Pro,161,ECI,,,unmatched,needs_review,none,,epoch_eci_refresh_2026_05,,unknown,,,,,,New model introduced in the 2026-05 overall ECI refresh; mapping not yet reviewed.,"No gpt-5.5-pro tier in elo_refined.csv (only gpt-5.5-medium, mapped to base GPT-5.5). Pro is a distinct product tier; left unmatched.",,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
2,Claude Fable 5,161,(159 - 164),,159.0,164.0,2.5,eci,eci:0002,Claude Fable 5,Claude Fable 5,161,ECI,,,unmatched,reviewed_2026_07_eci_refresh,none,Claude,epoch_eci_refresh_2026_07,,unknown,,,,,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. No LLM Chess counterpart exists, so there is nothing to map; the row stays visible in coverage and out of every statistic.",No Claude Fable 5 run in LLM Chess; the Anthropic inventory reaches claude-opus-4-8.,cross_ref_eci_refresh_2026_07,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
3,Claude Opus 5,159,(157 - 162),,157.0,162.0,2.5,eci,eci:0003,Claude Opus 5,Claude Opus 5,159,ECI,,,unmatched,reviewed_2026_07_eci_refresh,none,Claude,epoch_eci_refresh_2026_07,,unknown,,,,,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. No LLM Chess counterpart exists, so there is nothing to map; the row stays visible in coverage and out of every statistic.",No Claude Opus 5 run in LLM Chess; the Anthropic inventory reaches claude-opus-4-8.,cross_ref_eci_refresh_2026_07,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
4,GPT-5.5,158,(157 - 161),,157.0,161.0,2.0,eci,eci:0004,GPT-5.5,GPT-5.5,158,ECI,,gpt-5.5-high,accepted,reviewed_2026_07_reasoning_rule,review-medium,GPT-5,epoch_eci_refresh_2026_05,,unknown,,reasoning,high,assume-highest,reasoning_effort_rule:README.md#stage-ownership; elo_refined.csv tier availability,"ECI states no reasoning effort for GPT-5.5, so clause 1 (assume-highest) applies: mapped to gpt-5.5-high, the highest GPT-5.5 tier in elo_refined.csv (available tiers are medium and high). The earlier gpt-5.5-medium pick came from the retired base->medium family convention and from gpt-5.5-high not yet existing.","Effort is assumed, not sourced: Epoch does not publish the reasoning effort behind the ECI GPT-5.5 run.",cross_ref_reasoning_rule_2026_07,,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
5,GPT-5.6 Terra,158,(156 - 161),,156.0,161.0,2.5,eci,eci:0005,GPT-5.6 Terra,GPT-5.6 Terra,158,ECI,,gpt-5.6-terra-2026-07-09-high,accepted,reviewed_2026_07_eci_refresh,review-medium,GPT-5,epoch_eci_refresh_2026_07,,unknown,,reasoning,high,assume-highest,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. ECI publishes no reasoning effort, so clause 1 (assume-highest) applies: mapped to gpt-5.6-terra-2026-07-09-high, the highest GPT-5.6 Terra tier in elo_refined.csv (available tiers are medium and high).","Effort is assumed, not sourced: Epoch does not publish the reasoning effort behind the ECI GPT-5.6 Terra run.",cross_ref_eci_refresh_2026_07,,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
6,Claude Opus 4.8,158,(156 - 160),,156.0,160.0,2.0,eci,eci:0006,Claude Opus 4.8,Claude Opus 4.8,158,ECI,,claude-opus-4-8_adaptive-thinking-high,accepted,reviewed_2026_07_eci_refresh,high,Claude Opus 4,epoch_eci_refresh_2026_07,,unknown,,reasoning,high,assume-highest,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. ECI publishes no reasoning effort, so clause 1 (assume-highest) applies: claude-opus-4-8_adaptive-thinking-high is the only and therefore the highest Claude Opus 4.8 entry in elo_refined.csv.","Effort is assumed, not sourced. LLM Chess ran Opus 4.8 only at adaptive-thinking high, so no lower tier was available to compare against.",cross_ref_eci_refresh_2026_07,,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
7,GPT-5.4 Pro,158,(156 - 161),,156.0,161.0,2.5,eci,eci:0007,GPT-5.4 Pro,GPT-5.4 Pro,158,ECI,,,unmatched,qa_passed,low,GPT-5,legacy_bridge_column,,unknown,,,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,No legacy bridge value present.,published_mapping_review,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
8,GPT-5.4,156,(155 - 158),gpt-5.4-low,155.0,158.0,1.5,eci,eci:0008,GPT-5.4,GPT-5.4,156,ECI,gpt-5.4-low,gpt-5.4-high,accepted,reviewed_2026_07_reasoning_rule,review-medium,GPT-5,epoch_eci_refresh_2026_05,,unknown,,reasoning,high,assume-highest,reasoning_effort_rule:README.md#stage-ownership; elo_refined.csv tier availability,"ECI states no reasoning effort for GPT-5.4, so clause 1 (assume-highest) applies: mapped to gpt-5.4-high, the highest of the low/medium/high GPT-5.4 tiers in elo_refined.csv. Supersedes the 2026-05 gpt-5.4-medium pick, which followed the retired base->medium convention.","Effort is assumed, not sourced: Epoch does not publish the reasoning effort behind the ECI GPT-5.4 run.",cross_ref_reasoning_rule_2026_07,gpt-5.4-low,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
9,Claude Opus 4.7,156,(154 - 158),,154.0,158.0,2.0,eci,eci:0009,Claude Opus 4.7,Claude Opus 4.7,156,ECI,,claude-opus-4-7_adaptive-thinking-high,accepted,reviewed_2026_07_eci_refresh,high,Claude Opus 4,epoch_eci_refresh_2026_07,,unknown,,reasoning,high,assume-highest,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Resolved from mapping-research/eci.md priority-queue entry 2: the hold condition was 'until an exact LLM Chess Claude 4.7 row exists', and claude-opus-4-7_adaptive-thinking-high now does. arc_agi_2, bullshit_bench and vals_index already map the same model to it. ECI publishes no reasoning effort, so clause 1 (assume-highest) applies and it is the only Opus 4.7 entry.","Effort is assumed, not sourced. The prior unmatched status was legacy bridge-column seeding, not a reviewed identity judgement.",cross_ref_eci_refresh_2026_07,,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
