Model,Score,90% CI,llm_chess_model
GPT-5.5 Pro,159,(156 - 167),
GPT-5.5,158,(155 - 166),
GPT-5.4 Pro,158,(155 - 165),
Gemini 3.1 Pro,157,(154 - 165),gemini-3.1-pro-preview
Gemini 3.5 Flash,156,(154 - 165),
Claude Opus 4.7,156,(153 - 164),
GPT-5.4,156,(153 - 164),gpt-5.4-low
GPT-5.3 Codex,156,(153 - 164),
Claude Opus 4.6,155,(152 - 163),claude-opus-4-6_thinking-high
Muse Spark,155,(151 - 164),
Grok 4.20,154,(148 - 161),
GPT-5.2 Pro,154,(150 - 163),
GPT-5.2,154,(151 - 161),gpt-5.2-medium
Gemini 3 Pro,153,(151 - 161),gemini-3-pro-preview
Claude Sonnet 4.6,153,(149 - 159),claude-sonnet-4-6
Kimi K2.6,152,(148 - 159),
Gemini 3 Flash,151,(144 - 158),gemini-3-flash-preview
GPT-5 Pro,150,(147 - 158),
Qwen 3.6 Max (Preview),150,(147 - 159),
GPT-5,150,(146 - 158),gpt-5-medium
GLM-5.1,150,(148 - 157),
Claude Opus 4.5,150,(147 - 157),claude-opus-4-5-20251101_thinking_16000
GPT-5.1,150,(147 - 157),gpt-5.1-medium
Qwen 3.6 Plus,149,(145 - 156),
GPT-5.4 Mini,149,(146 - 156),
Kimi K2.5,148,(145 - 155),kimi-k2.5
o3-pro,148,(145 - 156),
MiniMax-M2.5,147,(144 - 154),minimax.minimax-m2.5
Grok 4,147,(144 - 154),grok-4-20-reasoning
o3,147,(144 - 154),o3-medium
Claude Sonnet 4.5,147,(144 - 154),claude-sonnet-4-5_thinking_16000
o4-mini,147,(144 - 154),o4-mini-high
Gemini 2.5 Pro (Jun 2025),147,(144 - 153),gemini-2.5-pro
GLM-5,147,(144 - 153),zai.glm-5
DeepSeek-V3.2,146,(143 - 152),
GPT-5.4 Nano,146,(143 - 154),
Qwen 3.5 Plus (hosted 397B-A17B),146,(143 - 153),
Qwen3-235B-A22B-Thinking (Jul 2025),146,(142 - 153),
Kimi K2 Thinking,146,(142 - 152),
GPT-5 mini,146,(142 - 152),gpt-5-mini-high
DeepSeek-V3.2-Exp,145,(142 - 152),
Qwen 3.6 Flash,145,(142 - 152),
Gemini 2.5 Pro (Mar 2025),145,(142 - 152),gemini-2.5-pro-preview-03-25
Qwen3-Max,145,(140 - 159),
Grok 4 Fast,145,(141 - 153),grok-4-fast-reasoning
Qwen 3.5 Flash (hosted 35B-A3B),145,(141 - 151),
Claude Opus 4.1,145,(142 - 151),claude-opus-4-1
GLM-4.7,145,(142 - 150),
Gemini 2.5 Flash (Sep 2025),143,(139 - 151),gemini-2.5-flash
Claude Opus 4,143,(140 - 150),claude-opus-4_thinking_16000
Claude Haiku 4.5,143,(140 - 149),claude-haiku-4-5_thinking_16000
o1,143,(140 - 149),o1-medium
