llm_chess_player,review_status,provider_or_family,date_released,reasoning_status,reasoning_kind_inferred,reasoning_effort_inferred
DeepSeek-V3.2-Speciale,metadata-only,DeepSeek-V3,2025-12,reasoning,reasoning,
amazon.nova-lite-v1,exact-match,amazon,2024-12,not_reasoning,not_reasoning,
amazon.nova-pro-v1,exact-match,amazon,2024-12,not_reasoning,not_reasoning,
anthropic.claude-3-7-sonnet-20250219-v1:0,metadata-only,anthropic,2025-02,not_reasoning,not_reasoning,
anthropic.claude-v3-5-haiku,metadata-only,anthropic,2024-10,not_reasoning,not_reasoning,
chat-bison-32k@002,exact-match,chat,2023-10,not_reasoning,not_reasoning,
claude-2,exact-match,claude,2023-07,not_reasoning,not_reasoning,
claude-2-1,exact-match,claude,2023-11,not_reasoning,not_reasoning,
claude-3-5-haiku,exact-match,claude,2024-10,not_reasoning,not_reasoning,
claude-3-5-sonnet,exact-match,claude,2024-07,not_reasoning,not_reasoning,
claude-3-5-sonnet-v1,metadata-only,claude,2024-07,not_reasoning,not_reasoning,
claude-3-5-sonnet-v2,exact-match,claude,2024-10,not_reasoning,not_reasoning,
claude-3-7-sonnet,exact-match,claude,2025-02,not_reasoning,not_reasoning,
claude-3-7-sonnet_thinking_10000,exact-match,claude,2025-02,reasoning,reasoning,thinking_10000
claude-3-7-sonnet_thinking_1024,exact-match,claude,2025-02,reasoning,reasoning,thinking_1024
claude-3-7-sonnet_thinking_2048,exact-match,claude,2025-02,reasoning,reasoning,thinking_2048
claude-3-7-sonnet_thinking_5000,exact-match,claude,2025-02,reasoning,reasoning,thinking_5000
claude-3-haiku,exact-match,claude,2024-03,not_reasoning,not_reasoning,
claude-3-opus,exact-match,claude,2024-03,not_reasoning,not_reasoning,
claude-3-sonnet,exact-match,claude,2024-03,not_reasoning,not_reasoning,
claude-haiku-4-5,exact-match,claude,2025-10,not_reasoning,not_reasoning,
claude-haiku-4-5_thinking_16000,exact-match,claude,2025-10,reasoning,reasoning,thinking_16000
claude-opus-4,exact-match,claude,2025-05,not_reasoning,not_reasoning,
claude-opus-4-1,exact-match,claude,2025-08,not_reasoning,not_reasoning,
claude-opus-4-5,exact-match,claude,2025-11,not_reasoning,not_reasoning,
claude-opus-4-5-20251101_thinking_16000,elo-only,claude,,,reasoning,thinking_16000
claude-opus-4-5-thinking_16000,metadata-only,claude,2025-11,reasoning,reasoning,thinking_16000
claude-opus-4-6,exact-match,claude,2026-02,not_reasoning,not_reasoning,
claude-opus-4-6_thinking-high,exact-match,claude,2026-02,reasoning,reasoning,high
claude-opus-4_thinking_16000,exact-match,claude,2025-05,reasoning,reasoning,thinking_16000
claude-sonnet-4,exact-match,claude,2025-05,not_reasoning,not_reasoning,
claude-sonnet-4-5,exact-match,claude,2025-09,not_reasoning,not_reasoning,
claude-sonnet-4-5_thinking_16000,exact-match,claude,2025-09,reasoning,reasoning,thinking_16000
claude-sonnet-4-6,exact-match,claude,2026-02,not_reasoning,not_reasoning,
claude-sonnet-4-6_thinking-high,metadata-only,claude,2026-02,reasoning,reasoning,high
claude-sonnet-4_thinking_16000,exact-match,claude,2025-05,reasoning,reasoning,thinking_16000
claude-v3-5-sonnet-v1,metadata-only,claude,2024-07,not_reasoning,not_reasoning,
claude-v3-5-sonnet-v2,metadata-only,claude,2024-10,not_reasoning,not_reasoning,
