Model,Score,90% CI,llm_chess_model
GPT-5.4 Pro,158,(156 - 161),
Gemini 3.1 Pro,157,(154 - 160),gemini-3.1-pro-preview
GPT-5.4,156,(154 - 158),gpt-5.4-low
Claude Opus 4.7,156,(153 - 158),
Claude Opus 4.6,155,(153 - 157),claude-opus-4-6_thinking-high
Muse Spark,155,(151 - 158),
GPT-5.2 Pro,154,(151 - 158),
GPT-5.2,154,(152 - 156),gpt-5.2-medium
Gemini 3 Pro,153,(151 - 156),gemini-3-pro-preview
Claude Sonnet 4.6,153,(148 - 155),claude-sonnet-4-6
Gemini 3 Flash,151,(145 - 153),gemini-3-flash-preview
GPT-5 Pro,150,(148 - 153),
GPT-5,150,NA,gpt-5-medium
Claude Opus 4.5,150,(148 - 152),claude-opus-4-5-20251101_thinking_16000
GPT-5.1,150,(148 - 151),gpt-5.1-medium
Kimi K2.5,148,(146 - 149),kimi-k2.5
o3-pro,148,NA,
MiniMax-M2.5,147,(145 - 149),minimax.minimax-m2.5
Grok 4,147,(145 - 150),grok-4-20-reasoning
o3,147,NA,o3-medium
Claude Sonnet 4.5,147,NA,claude-sonnet-4-5_thinking_16000
o4-mini,147,NA,o4-mini-high
Gemini 2.5 Pro (Jun 2025),147,(145 - 149),gemini-2.5-pro
GLM-5,146,(144 - 148),zai.glm-5
DeepSeek-V3.2,146,(144 - 148),
GPT-5 mini,145,NA,gpt-5-mini-high
Qwen3-235B-A22B-Thinking (Jul 2025),145,(143 - 149),
Kimi K2 Thinking,145,(143 - 147),
DeepSeek-V3.2-Exp,145,(140 - 148),
Grok 4 Fast,145,(142 - 148),grok-4-fast-reasoning
Claude Opus 4.1,145,(142 - 146),claude-opus-4-1
GLM-4.7,144,(142 - 146),
Qwen3-Max,144,(140 - 155),
Gemini 2.5 Flash (Sep 2025),143,(139 - 146),gemini-2.5-flash
Claude Opus 4,143,(141 - 145),claude-opus-4_thinking_16000
Claude Haiku 4.5,143,(140 - 145),claude-haiku-4-5_thinking_16000
Gemini 2.5 Pro (Mar 2025),143,NA,gemini-2.5-pro-preview-03-25
o1,143,NA,o1-medium
Claude Sonnet 4,142,(139 - 144),claude-sonnet-4_thinking_16000
DeepSeek-R1 (May 2025),142,NA,deepseek-r1-0528
Claude 3.7 Sonnet,142,(140 - 144),claude-3-7-sonnet_thinking_10000
o3-mini,141,NA,o3-mini-high
GLM-4.6,141,NA,
Grok-3 mini,141,NA,grok-3-mini-beta-high
gpt-oss-120b,141,(136 - 143),gpt-oss-120b-high
Gemini 2.5 Flash (Jun 2025),141,(137 - 143),gemini-2.5-flash
Kimi K2 (Jul 2025),140,(136 - 142),
GPT-5 nano,140,NA,gpt-5-nano-high
Gemini 2.5 Flash (May 2025),140,NA,gemini-2.5-flash
DeepSeek-R1,140,(137 - 141),deepseek-r1
Gemini 2.5 Pro (May 2025),140,NA,gemini-2.5-pro-preview-05-06
Qwen3-235B-A22B,140,(133 - 141),
Grok 3,139,(137 - 141),grok-3-beta
Qwen3-235B-A22B-Instruct (Jul 2025),139,(135 - 141),qwen-3-235b-a22b-instruct-2507
DeepSeek-V3.1,139,(134 - 143),
GPT-4.5,138,(135 - 140),gpt-4.5-preview
Kimi K2 (Sep 2025),138,NA,
GPT-4.1,137,(135 - 139),gpt-4.1
DeepSeek-V3 (Mar 2025),137,(134 - 139),deepseek-v3-0324
o1-mini,137,NA,o1-mini
Gemini 2.5 Flash (Apr 2025),136,NA,gemini-2.5-flash
Gemini 2.0 Flash Thinking (Jan 2025),136,NA,gemini-2.0-flash-thinking-exp-01-21
o1-preview,136,NA,o1-preview
GPT-4.1 mini,136,(132 - 137),gpt-4.1-mini
Gemini 2.0 Pro,136,NA,
Mistral Medium 3,135,(126 - 137),
Gemini 2.0 Flash (Dec 2024),135,NA,gemini-2.0-flash-001
Claude 3.5 Sonnet (October 2024),134,NA,claude-3-5-sonnet-v2
Qwen2.5-Max,133,(129 - 137),qwen-max
DeepSeek-V3,133,(129 - 136),deepseek-v3
Magistral Small 1.1,133,(127 - 136),magistral-small
Llama 4 Maverick,133,NA,llama-4-maverick-17b-128e-instruct
Gemini 2.0 Flash (Feb 2025),133,NA,gemini-2.0-flash-001
Phi-4,131,(125 - 133),phi-4
Gemma 3 27B,131,(125 - 134),google_gemma-3-27b-it@iq4_xs
GPT-4.1 nano,131,(126 - 133),gpt-4.1-nano
Grok-2 (Dec 2024),131,(124 - 132),grok-2
Llama 4 Scout,131,(126 - 132),
Gemini 1.5 Flash (Sep 2024),130,(123 - 132),gemini-1.5-flash-001
Claude 3.5 Sonnet,130,NA,claude-3-5-sonnet
Qwen2.5-72B,129,(123 - 131),qwen2.5-72b-instruct
GPT-4o (May 2024),129,NA,gpt-4o-2024-05-13
Mistral Large 2 (Nov 2024),129,(124 - 131),
Gemini 1.5 Pro (Sept 2024),129,NA,gemini-1.5-pro-preview
Llama 3.1-405B,128,(119 - 130),
GPT-4 Turbo (Apr 2024),128,NA,gpt-4-turbo
Mistral Large 2 (Jul 2024),128,(122 - 129),
Llama 3.3 70B,128,(122 - 130),llama-3.3-70b
Claude 3.5 Haiku,128,(120 - 131),claude-3-5-haiku
GPT-4o mini,127,(121 - 129),gpt-4o-mini
Claude 3 Opus,127,(123 - 131),claude-3-opus
GPT-4 (Mar 2023),126,NA,gpt-4
Qwen2-72B,126,(120 - 127),
Llama 3.2 90B,126,(120 - 127),
Llama 3.1-70B,126,NA,
