source_row_index,model_key,model_slug,provider,vals_index,corp_fin_v2,finance_agent,swebench,terminal_bench_2_1,vibe_code_bench,stderr,latency,cost_per_test,reasoning_effort,compute_effort,reasoning,verbosity,temperature,top_p,max_output_tokens,harness,eval_id,eval_row_id,eval_model_label,eval_variant_label,finance_bucket,coding_bucket,stated_effort,score_numeric,score_label,llm_chess_player,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,has_numeric_score,made_accepted_mapping,joined_llm_chess_metric_row,made_metric_sample_pre_dedupe,survived_metric_dedupe,joined_llm_chess_row_with_non_null_elo,survived_elo_dedupe,metric_dedupe_kept_eval_row_id,elo_dedupe_kept_eval_row_id,has_llm_chess_match,has_llm_chess_elo,metric_drop_stage,metric_drop_side,metric_drop_reason,elo_drop_stage,elo_drop_side,elo_drop_reason,first_failed_stage,first_failed_side,first_failed_reason,provider_or_family_inferred
0,anthropic/claude-fable-5,claude-fable-5,Anthropic,75.145,71.562,56.349,97.059,80.524,93.467,0.637,1050.682,11.002463,,max,,,1.0,,128000.0,,vals_index,vals_index:0000:anthropic_claude_fable_5,anthropic/claude-fable-5,anthropic/claude-fable-5,63.9555,91.12925,max,75.145,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,anthropic,vals_index_v1_2_2026_07_23,compute_effort=max,reasoning_or_configured,max,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Claude Fable 5 has no LLM Chess run. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.","Top-ranked Vals row (75.145) is absent from the comparison, so the matched sample is truncated at its high end.",cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Anthropic
1,anthropic/claude-opus-5,claude-opus-5,Anthropic,74.82,74.942,56.57,95.098,84.644,85.664,1.353,1182.436,8.538371,,,,,,,,,vals_index,vals_index:0001:anthropic_claude_opus_5,anthropic/claude-opus-5,anthropic/claude-opus-5,65.756,87.76750000000001,,74.82,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,anthropic,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Claude Opus 5 has no LLM Chess run; the inventory reaches claude-opus-4-8. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",Second-ranked Vals row is absent from the comparison.,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Anthropic
2,kimi/kimi-k3,kimi-k3,Moonshot AI,74.7,72.611,55.882,95.098,80.899,91.271,0.96,1223.498,2.34403,,,,,1.0,,262144.0,,vals_index,vals_index:0002:kimi_kimi_k3,kimi/kimi-k3,kimi/kimi-k3,64.2465,89.63475,,74.7,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,kimi,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Kimi K3 against LLM Chess kimi-k2.5 and kimi-k2-instruct. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling.",Third-ranked Vals row is absent from the comparison.,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Moonshot AI
3,openai/gpt-5.6-sol,gpt-5.6-sol,OpenAI,73.118,66.434,54.955,99.02,85.768,89.34,0.743,753.48,7.457146,max,,,,,,128000.0,,vals_index,vals_index:0003:openai_gpt_5_6_sol,openai/gpt-5.6-sol,openai/gpt-5.6-sol,60.6945,90.867,max,73.118,Vals Index v1.2,gpt-5.6-sol-2026-07-09-high,variant-compatible,reviewed_2026_07_vals_index,high,openai,vals_index_v1_2_2026_07_23,reasoning_effort=max,reasoning_or_configured,max,reasoning,high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals states reasoning_effort=max; LLM Chess offers only -high and -medium for this run, so clause 3 substitutes upward to the highest available tier (-high).","LLM Chess has no max tier, so the compared efforts are not identical: max vs high.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
4,anthropic/claude-opus-4-8,claude-opus-4-8,Anthropic,70.358,65.967,53.949,89.216,71.91,89.869,0.902,1330.504,2.900298,,max,,,1.0,,128000.0,,vals_index,vals_index:0004:anthropic_claude_opus_4_8,anthropic/claude-opus-4-8,anthropic/claude-opus-4-8,59.958,85.216,max,70.358,Vals Index v1.2,claude-opus-4-8_adaptive-thinking-high,variant-compatible,reviewed_2026_07_vals_index,high,anthropic,vals_index_v1_2_2026_07_23,compute_effort=max,reasoning_or_configured,max,reasoning,adaptive-thinking-high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals records the tier in compute_effort=max for Anthropic rows; the only LLM Chess run is adaptive-thinking-high, so clause 3 substitutes upward to it.","compute_effort=max vs an adaptive-thinking-high chess run: neither the effort label nor the thinking mode is identical, only the model.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Anthropic
5,openai/gpt-5.6-luna,gpt-5.6-luna,OpenAI,69.878,65.035,55.555,93.137,79.026,81.053,0.836,554.38,1.088721,max,,,,,,128000.0,,vals_index,vals_index:0005:openai_gpt_5_6_luna,openai/gpt-5.6-luna,openai/gpt-5.6-luna,60.295,83.56725,max,69.878,Vals Index v1.2,gpt-5.6-luna-2026-07-09-high,variant-compatible,reviewed_2026_07_vals_index,high,openai,vals_index_v1_2_2026_07_23,reasoning_effort=max,reasoning_or_configured,max,reasoning,high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals states reasoning_effort=max; LLM Chess offers only -high and -medium, so clause 3 substitutes upward to -high.","LLM Chess has no max tier, so the compared efforts are not identical: max vs high.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
6,anthropic/claude-sonnet-5,claude-sonnet-5,Anthropic,68.608,67.949,51.979,75.49,74.532,86.902,0.996,1324.286,9.012369,,max,,,1.0,,128000.0,,vals_index,vals_index:0006:anthropic_claude_sonnet_5,anthropic/claude-sonnet-5,anthropic/claude-sonnet-5,59.964,80.9565,max,68.608,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,anthropic,vals_index_v1_2_2026_07_23,compute_effort=max,reasoning_or_configured,max,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Claude Sonnet 5 has no LLM Chess run; the inventory reaches claude-sonnet-4-6. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Anthropic
7,meta/muse_spark_1_1,muse_spark_1_1,Meta,68.405,73.077,57.109,78.431,69.288,72.412,1.272,388.518,0.503142,xhigh,,,,,,256000.0,,vals_index,vals_index:0007:meta_muse_spark_1_1,meta/muse_spark_1_1,meta/muse_spark_1_1,65.093,73.13575,xhigh,68.405,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,meta,vals_index_v1_2_2026_07_23,reasoning_effort=xhigh,reasoning_or_configured,xhigh,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Meta Muse Spark 1.1 has no LLM Chess run. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Meta
8,openai/gpt-5.5,gpt-5.5,OpenAI,67.951,69.58,51.834,82.6,76.404,77.099,1.536,684.387,4.60358,xhigh,,,,,,128000.0,,vals_index,vals_index:0008:openai_gpt_5_5,openai/gpt-5.5,openai/gpt-5.5,60.707,78.3005,xhigh,67.951,Vals Index v1.2,gpt-5.5-high,variant-compatible,reviewed_2026_07_vals_index,high,openai,vals_index_v1_2_2026_07_23,reasoning_effort=xhigh,reasoning_or_configured,xhigh,reasoning,high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals states reasoning_effort=xhigh; LLM Chess offers gpt-5.5-high and gpt-5.5-medium, so clause 3 substitutes upward to gpt-5.5-high.","LLM Chess has no xhigh tier, so the compared efforts are not identical: xhigh vs high.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
9,anthropic/claude-opus-4-7,claude-opus-4-7,Anthropic,66.099,66.084,51.45,82.353,68.539,77.701,1.268,761.527,6.167573,,high,,,1.0,,128000.0,,vals_index,vals_index:0009:anthropic_claude_opus_4_7,anthropic/claude-opus-4-7,anthropic/claude-opus-4-7,58.767,76.5735,high,66.099,Vals Index v1.2,claude-opus-4-7_adaptive-thinking-high,variant-compatible,reviewed_2026_07_vals_index,high,anthropic,vals_index_v1_2_2026_07_23,compute_effort=high,reasoning_or_configured,high,reasoning,adaptive-thinking-high,effort_to_effort,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model, and the effort labels agree: Vals compute_effort=high against the adaptive-thinking-high chess run, so clause 2 applies to the effort.","The effort tier matches but the thinking mode is labelled differently (Vals compute_effort vs LLM Chess adaptive-thinking), so this stays variant-compatible rather than accepted.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Anthropic
