Model,Score,90% CI,llm_chess_model
GPT-5.6 Sol,162,(159 - 166),
GPT-5.5 Pro,161,(158 - 164),
Claude Fable 5,161,(159 - 164),
Claude Opus 5,159,(157 - 162),
GPT-5.5,158,(157 - 161),
GPT-5.6 Terra,158,(156 - 161),
Claude Opus 4.8,158,(156 - 160),
GPT-5.4 Pro,158,(156 - 161),
GPT-5.4,156,(155 - 158),gpt-5.4-low
Claude Opus 4.7,156,(154 - 158),
Kimi K3,156,(154 - 159),
GPT-5.3 Codex,156,(153 - 159),
Claude Opus 4.6,155,(153 - 157),claude-opus-4-6_thinking-high
GPT-5.6 Luna,155,(153 - 158),
Gemini 3.1 Pro,155,(153 - 158),gemini-3.1-pro-preview
GPT-5.2 Pro,155,(153 - 157),
Gemini 3.5 Flash,155,(153 - 157),
Muse Spark,154,(152 - 158),
GPT-5.2,154,(152 - 155),gpt-5.2-medium
Grok 4.5,154,(152 - 156),
Claude Sonnet 5,153,(151 - 155),
Gemini 3 Pro,153,(151 - 156),gemini-3-pro-preview
Claude Sonnet 4.6,153,(150 - 156),claude-sonnet-4-6
Qwen3.7-Max,153,(151 - 155),
Grok 4.20,153,(149 - 155),
GLM-5.2,151,(150 - 153),
Kimi K2.6,151,(149 - 153),
Gemini 3 Flash,151,(146 - 153),gemini-3-flash-preview
GLM-5.1,150,(148 - 152),
GPT-5 Pro,150,(149 - 152),
GPT-5,150,,gpt-5-medium
GPT-5.1,150,(149 - 151),gpt-5.1-medium
Kimi K2.7 Code,150,(148 - 151),
Qwen 3.6 Max (Preview),150,(148 - 154),
Claude Opus 4.5,150,(148 - 152),claude-opus-4-5-20251101_thinking_16000
Qwen 3.6 Plus,149,(147 - 151),
Grok 4.3 Beta,149,(147 - 150),
GPT-5.4 Mini,149,(147 - 150),
DeepSeek-V4-Pro,149,(147 - 151),
Kimi K2.5,148,(146 - 149),kimi-k2.5
o3-pro,148,(146 - 150),
MiniMax-M2.5,147,(142 - 148),minimax.minimax-m2.5
o3,147,(145 - 148),o3-medium
Grok 4,147,(145 - 149),grok-4-20-reasoning
MiniMax-M3,147,(142 - 150),
Qwen 3.5 Plus (hosted 397B-A17B),147,(145 - 148),
Claude Sonnet 4.5,147,(145 - 148),claude-sonnet-4-5_thinking_16000
GPT-5.4 Nano,147,(144 - 148),
DeepSeek-V3.2,147,(144 - 148),
o4-mini,147,(144 - 148),o4-mini-high
GLM-5,146,(145 - 148),zai.glm-5
Gemini 2.5 Pro (Jun 2025),146,(144 - 148),gemini-2.5-pro
Kimi K2 Thinking,146,(144 - 147),
GPT-5 mini,146,(144 - 147),gpt-5-mini-high
MiniMax-M2.7,146,(138 - 148),
DeepSeek-V3.2-Exp,145,(142 - 147),
Gemini 2.5 Pro (Mar 2025),145,(142 - 147),gemini-2.5-pro-preview-03-25
Qwen3-235B-A22B-Thinking (Jul 2025),145,(142 - 148),
Grok 4 Fast,145,(142 - 147),grok-4-fast-reasoning
Gemini 3.1 Flash-Lite,144,(136 - 146),
Claude Opus 4.1,144,(142 - 146),claude-opus-4-1
Qwen 3.6 Flash,144,(141 - 146),
Qwen 3.5 Flash (hosted 35B-A3B),144,(141 - 146),
Qwen3-Max,144,(140 - 155),
GLM-4.7,144,(141 - 145),
Qwen 3.6 35B-A3B,143,(138 - 147),
Gemini 2.5 Flash (Sep 2025),143,(139 - 147),gemini-2.5-flash
Claude Opus 4,143,(140 - 144),claude-opus-4_thinking_16000
Claude Haiku 4.5,143,(140 - 145),claude-haiku-4-5_thinking_16000
Gemini 2.5 Pro (May 2025),143,(140 - 145),gemini-2.5-pro-preview-05-06
o1,143,(141 - 144),o1-medium
Gemini 2.5 Flash (May 2025),142,(140 - 144),gemini-2.5-flash
Claude Sonnet 4,142,(139 - 144),claude-sonnet-4_thinking_16000
DeepSeek-R1 (May 2025),142,(140 - 143),deepseek-r1-0528
Gemma 4 31B IT,142,(131 - 146),
Claude 3.7 Sonnet,142,(139 - 143),claude-3-7-sonnet_thinking_10000
o3-mini,141,(139 - 143),o3-mini-high
Grok-3 mini,141,(138 - 143),grok-3-mini-beta-high
GLM-4.6,141,(136 - 143),
GPT-5 nano,141,(136 - 143),gpt-5-nano-high
Gemini 2.5 Flash (Apr 2025),141,(137 - 143),gemini-2.5-flash
gpt-oss-120b,141,(136 - 143),gpt-oss-120b-high
Kimi K2 (Jul 2025),140,(137 - 142),
Gemini 2.5 Flash (Jun 2025),140,(137 - 142),gemini-2.5-flash
DeepSeek-R1,140,(137 - 141),deepseek-r1
Qwen3-235B-A22B,140,(135 - 141),
Grok 3,139,(136 - 140),grok-3-beta
Qwen3-235B-A22B-Instruct (Jul 2025),139,(135 - 141),qwen-3-235b-a22b-instruct-2507
GPT-4.5,138,(135 - 139),gpt-4.5-preview
GPT-4.1,137,(134 - 139),gpt-4.1
DeepSeek-V3 (Mar 2025),137,(134 - 139),deepseek-v3-0324
o1-mini,137,(133 - 138),o1-mini
Gemini 2.0 Flash Thinking (Jan 2025),136,(131 - 139),gemini-2.0-flash-thinking-exp-01-21
o1-preview,136,(132 - 140),o1-preview
GPT-4.1 mini,136,(132 - 137),gpt-4.1-mini
Gemini 2.0 Flash (Feb 2025),136,(133 - 137),gemini-2.0-flash-001
Gemini 2.0 Pro,136,(132 - 137),
Mistral Medium 3,135,(132 - 137),
Gemini 2.0 Flash (Dec 2024),135,(125 - 137),gemini-2.0-flash-001
Claude 3.5 Sonnet (October 2024),134,(130 - 139),claude-3-5-sonnet-v2
Qwen2.5-Max,133,(129 - 136),qwen-max
Magistral Small 1.1,133,(128 - 135),magistral-small
Llama 4 Maverick,133,(129 - 135),llama-4-maverick-17b-128e-instruct
DeepSeek-V3,133,(129 - 136),deepseek-v3
Gemini 1.5 Pro (Sept 2024),133,(128 - 134),gemini-1.5-pro-preview
Phi-4,131,(125 - 133),phi-4
Gemma 3 27B,131,(126 - 133),google_gemma-3-27b-it@iq4_xs
GPT-4.1 nano,131,(125 - 133),gpt-4.1-nano
Grok-2 (Dec 2024),131,(126 - 132),grok-2
Llama 4 Scout,131,(126 - 132),
Gemini 1.5 Flash (Sep 2024),130,(124 - 132),gemini-1.5-flash-001
Claude 3.5 Sonnet,130,,claude-3-5-sonnet
GPT-4o (Nov 2024),129,(124 - 132),gpt-4o-2024-11-20
GPT-4o (Aug 2024),129,(124 - 131),gpt-4o-2024-08-06
Qwen2.5-72B,129,(123 - 131),qwen2.5-72b-instruct
Llama 3.1-405B,129,(124 - 131),
GPT-4o (May 2024),129,(123 - 131),gpt-4o-2024-05-13
Mistral Large 2 (Nov 2024),129,(124 - 131),
Mistral Small 3.1,128,(123 - 129),
GPT-4 Turbo (Apr 2024),128,(122 - 129),gpt-4-turbo
Mistral Large 2 (Jul 2024),128,(122 - 129),
