eval_id,eval_row_id,eval_model_label,llm_chess_player,eval_variant_label,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer
vals_index,vals_index:0000:anthropic_claude_fable_5,anthropic/claude-fable-5,,anthropic/claude-fable-5,unmatched,reviewed_2026_07_vals_index,none,anthropic,vals_index_v1_2_2026_07_23,compute_effort=max,reasoning_or_configured,max,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Claude Fable 5 has no LLM Chess run. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.","Top-ranked Vals row (75.145) is absent from the comparison, so the matched sample is truncated at its high end.",cross_ref_vals_index_2026_07
vals_index,vals_index:0001:anthropic_claude_opus_5,anthropic/claude-opus-5,,anthropic/claude-opus-5,unmatched,reviewed_2026_07_vals_index,none,anthropic,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Claude Opus 5 has no LLM Chess run; the inventory reaches claude-opus-4-8. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",Second-ranked Vals row is absent from the comparison.,cross_ref_vals_index_2026_07
vals_index,vals_index:0002:kimi_kimi_k3,kimi/kimi-k3,,kimi/kimi-k3,unmatched,reviewed_2026_07_vals_index,none,kimi,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Kimi K3 against LLM Chess kimi-k2.5 and kimi-k2-instruct. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling.",Third-ranked Vals row is absent from the comparison.,cross_ref_vals_index_2026_07
vals_index,vals_index:0003:openai_gpt_5_6_sol,openai/gpt-5.6-sol,gpt-5.6-sol-2026-07-09-high,openai/gpt-5.6-sol,variant-compatible,reviewed_2026_07_vals_index,high,openai,vals_index_v1_2_2026_07_23,reasoning_effort=max,reasoning_or_configured,max,reasoning,high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals states reasoning_effort=max; LLM Chess offers only -high and -medium for this run, so clause 3 substitutes upward to the highest available tier (-high).","LLM Chess has no max tier, so the compared efforts are not identical: max vs high.",cross_ref_vals_index_2026_07
vals_index,vals_index:0004:anthropic_claude_opus_4_8,anthropic/claude-opus-4-8,claude-opus-4-8_adaptive-thinking-high,anthropic/claude-opus-4-8,variant-compatible,reviewed_2026_07_vals_index,high,anthropic,vals_index_v1_2_2026_07_23,compute_effort=max,reasoning_or_configured,max,reasoning,adaptive-thinking-high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals records the tier in compute_effort=max for Anthropic rows; the only LLM Chess run is adaptive-thinking-high, so clause 3 substitutes upward to it.","compute_effort=max vs an adaptive-thinking-high chess run: neither the effort label nor the thinking mode is identical, only the model.",cross_ref_vals_index_2026_07
vals_index,vals_index:0005:openai_gpt_5_6_luna,openai/gpt-5.6-luna,gpt-5.6-luna-2026-07-09-high,openai/gpt-5.6-luna,variant-compatible,reviewed_2026_07_vals_index,high,openai,vals_index_v1_2_2026_07_23,reasoning_effort=max,reasoning_or_configured,max,reasoning,high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals states reasoning_effort=max; LLM Chess offers only -high and -medium, so clause 3 substitutes upward to -high.","LLM Chess has no max tier, so the compared efforts are not identical: max vs high.",cross_ref_vals_index_2026_07
vals_index,vals_index:0006:anthropic_claude_sonnet_5,anthropic/claude-sonnet-5,,anthropic/claude-sonnet-5,unmatched,reviewed_2026_07_vals_index,none,anthropic,vals_index_v1_2_2026_07_23,compute_effort=max,reasoning_or_configured,max,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Claude Sonnet 5 has no LLM Chess run; the inventory reaches claude-sonnet-4-6. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07
vals_index,vals_index:0007:meta_muse_spark_1_1,meta/muse_spark_1_1,,meta/muse_spark_1_1,unmatched,reviewed_2026_07_vals_index,none,meta,vals_index_v1_2_2026_07_23,reasoning_effort=xhigh,reasoning_or_configured,xhigh,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Meta Muse Spark 1.1 has no LLM Chess run. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07
vals_index,vals_index:0008:openai_gpt_5_5,openai/gpt-5.5,gpt-5.5-high,openai/gpt-5.5,variant-compatible,reviewed_2026_07_vals_index,high,openai,vals_index_v1_2_2026_07_23,reasoning_effort=xhigh,reasoning_or_configured,xhigh,reasoning,high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals states reasoning_effort=xhigh; LLM Chess offers gpt-5.5-high and gpt-5.5-medium, so clause 3 substitutes upward to gpt-5.5-high.","LLM Chess has no xhigh tier, so the compared efforts are not identical: xhigh vs high.",cross_ref_vals_index_2026_07
vals_index,vals_index:0009:anthropic_claude_opus_4_7,anthropic/claude-opus-4-7,claude-opus-4-7_adaptive-thinking-high,anthropic/claude-opus-4-7,variant-compatible,reviewed_2026_07_vals_index,high,anthropic,vals_index_v1_2_2026_07_23,compute_effort=high,reasoning_or_configured,high,reasoning,adaptive-thinking-high,effort_to_effort,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model, and the effort labels agree: Vals compute_effort=high against the adaptive-thinking-high chess run, so clause 2 applies to the effort.","The effort tier matches but the thinking mode is labelled differently (Vals compute_effort vs LLM Chess adaptive-thinking), so this stays variant-compatible rather than accepted.",cross_ref_vals_index_2026_07
