model,1m_prompt,1m_completion,date_released,reasoning_status,comment,mode_family,reasoning_level
claude-3-sonnet,3,15, 2024-03,not_reasoning,,claude-3-sonnet,none
claude-v3-5-sonnet-v1,3,15, 2024-07,not_reasoning,,claude-v3-5-sonnet-v1,none
claude-3-5-sonnet-v1,3,15, 2024-07,not_reasoning,,claude-3-5-sonnet-v1,none
claude-v3-5-sonnet-v2,3,15, 2024-10,not_reasoning,,claude-v3-5-sonnet-v2,none
claude-3-5-sonnet-v2,3,15, 2024-10,not_reasoning,,claude-3-5-sonnet-v2,none
anthropic.claude-3-7-sonnet-20250219-v1:0,3,15, 2025-02,not_reasoning,,anthropic.claude-3-7-sonnet-20250219-v1:0,none
claude-v3-7-sonnet-thinking,3,15, 2025-02,reasoning,,claude-v3-7-sonnet,default
claude-3-7-sonnet_thinking_1024, 3, 15, 2025-02,reasoning,,claude-3-7-sonnet,budget_1024
claude-3-7-sonnet_thinking_5000, 3, 15, 2025-02,reasoning,,claude-3-7-sonnet,budget_5000
claude-3-7-sonnet_thinking_10000, 3, 15, 2025-02,reasoning,,claude-3-7-sonnet,budget_10000
claude-v3-haiku,0.25,1.25, 2024-03,not_reasoning,,claude-v3-haiku,none
claude-3-5-haiku,0.8,4, 2024-10,not_reasoning,,claude-3-5-haiku,none
claude-v3-opus,15,75, 2024-03,not_reasoning,,claude-v3-opus,none
claude-3-opus,15,75, 2024-03,not_reasoning,,claude-3-opus,none
anthropic.claude-v3-5-haiku, 0.8, 4, 2024-10,not_reasoning,,anthropic.claude-v3-5-haiku,none
claude-v4-sonnet, 3, 15, 2025-05,not_reasoning,,claude-v4-sonnet,none
claude-sonnet-4, 3, 15, 2025-05,not_reasoning,,claude-sonnet-4,none
claude-v4-sonnet-thinking_16000, 3, 15, 2025-05,reasoning,,claude-v4-sonnet,budget_16000
claude-sonnet-4_thinking_16000, 3, 15, 2025-05,reasoning,,claude-sonnet-4,budget_16000
claude-sonnet-4-5_thinking_16000, 3, 15, 2025-09,reasoning,,claude-sonnet-4-5,budget_16000
claude-v4-opus, 15, 75, 2025-05,not_reasoning,,claude-v4-opus,none
claude-opus-4, 15, 75, 2025-05,not_reasoning,,claude-opus-4,none
claude-v4-opus-thinking_16000, 15, 75, 2025-05,reasoning,,claude-v4-opus,budget_16000
claude-opus-4-1, 15, 75, 2025-08,not_reasoning,,claude-opus-4-1,none
claude-opus-4-5, 5, 25, 2025-11,not_reasoning,,claude-opus-4-5,none
claude-opus-4-5-thinking_16000, 5, 25, 2025-11,reasoning,,claude-opus-4-5,budget_16000
claude-haiku-4-5_thinking_16000, 1, 5, 2025-10,reasoning,,claude-haiku-4-5,budget_16000
claude-opus-4-6_thinking-high, 5, 25, 2026-02,reasoning,Anthropic official pricing for Claude Opus 4.6,claude-opus-4-6,high
claude-sonnet-4-6_thinking-high, 3, 15, 2026-02,reasoning,Anthropic official pricing for Claude Sonnet 4.6,claude-sonnet-4-6,high
