eval_id,eval_row_id,eval_model_label,llm_chess_player,eval_variant_label,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer
arc_agi_2,arc_agi_2:0000:claude_opus_5_high,Claude Opus 5 (High),,Claude Opus 5 (High),unmatched,reviewed_2026_07_arc_refresh,high,Anthropic,2026-07-24,,reasoning_or_configured,high,,,,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory,LLM Chess has run no Claude Opus 5 model; elo_refined.csv stops at claude-opus-4-8_adaptive-thinking-high. A same-family earlier version is not a match.,Revisit once a Claude Opus 5 run exists in elo_refined.csv.,cross_ref_refresh_jul_2026
arc_agi_2,arc_agi_2:0001:claude_opus_5_max,Claude Opus 5 (Max),,Claude Opus 5 (Max),unmatched,reviewed_2026_07_arc_refresh,high,Anthropic,2026-07-24,,reasoning_or_configured,max,,,,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory,LLM Chess has run no Claude Opus 5 model; elo_refined.csv stops at claude-opus-4-8_adaptive-thinking-high. A same-family earlier version is not a match.,Revisit once a Claude Opus 5 run exists in elo_refined.csv.,cross_ref_refresh_jul_2026
arc_agi_2,arc_agi_2:0002:grok_4_5_high,Grok 4.5 (High),,Grok 4.5 (High),unmatched,reviewed_2026_07_arc_refresh,high,xAI,2026-07-16,,reasoning_or_configured,high,,,,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory,LLM Chess has no Grok 4.5 run; grok-4.3-high and the grok-4-20 entries are different releases. The vals_index mapping holds grok/grok-4.5 unmatched on the same grounds.,Revisit once a Grok 4.5 run exists in elo_refined.csv.,cross_ref_refresh_jul_2026
arc_agi_2,arc_agi_2:0003:grok_4_5_medium,Grok 4.5 (Medium),,Grok 4.5 (Medium),unmatched,reviewed_2026_07_arc_refresh,high,xAI,2026-07-16,,reasoning_or_configured,medium,,,,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory,LLM Chess has no Grok 4.5 run; grok-4.3-high and the grok-4-20 entries are different releases. The vals_index mapping holds grok/grok-4.5 unmatched on the same grounds.,Revisit once a Grok 4.5 run exists in elo_refined.csv.,cross_ref_refresh_jul_2026
arc_agi_2,arc_agi_2:0004:grok_4_5_low,Grok 4.5 (Low),,Grok 4.5 (Low),unmatched,reviewed_2026_07_arc_refresh,high,xAI,2026-07-16,,reasoning_or_configured,low,,,,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory,LLM Chess has no Grok 4.5 run; grok-4.3-high and the grok-4-20 entries are different releases. The vals_index mapping holds grok/grok-4.5 unmatched on the same grounds.,Revisit once a Grok 4.5 run exists in elo_refined.csv.,cross_ref_refresh_jul_2026
arc_agi_2,arc_agi_2:0005:inkling,Inkling,,Inkling,unmatched,reviewed_2026_07_arc_refresh,high,Thinking Machines,2026-07-15,,unknown,,,,,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory,Thinking Machines Inkling has no counterpart anywhere in elo_refined.csv. The vals_index mapping holds thinkingmachines/inkling unmatched on the same grounds.,Revisit once an Inkling run exists in elo_refined.csv.,cross_ref_refresh_jul_2026
arc_agi_2,arc_agi_2:0006:gpt_5_6_sol_low,GPT-5.6 Sol (Low),gpt-5.6-sol-2026-07-09-medium,GPT-5.6 Sol (Low),variant-compatible,reviewed_2026_07_arc_refresh,medium,OpenAI,2026-07-09,,reasoning_or_configured,low,reasoning,medium,nearest-tier,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory; reasoning_effort_rule:README.md#stage-ownership,"ARC states Low. elo_refined.csv has no gpt-5.6-sol-2026-07-09-low (tiers are medium and high), so clause 3 substitutes the lowest available tier in the same direction, gpt-5.6-sol-2026-07-09-medium. Direction binds: the row is not promoted to the -high tier.","Forced effort inversion: the ARC run is Low and the lowest LLM Chess tier available is gpt-5.6-sol-2026-07-09-medium. No lower tier exists, so the substitution is coverage-driven and the two efforts do not agree. Do not read this row as an effort-matched comparison.",cross_ref_refresh_jul_2026
arc_agi_2,arc_agi_2:0007:gpt_5_6_sol_medium,GPT-5.6 Sol (Medium),gpt-5.6-sol-2026-07-09-medium,GPT-5.6 Sol (Medium),accepted,reviewed_2026_07_arc_refresh,high,OpenAI,2026-07-09,,reasoning_or_configured,medium,reasoning,medium,effort_to_effort,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory,"ARC states Medium and elo_refined.csv has the exact gpt-5.6-sol-2026-07-09-medium tier, so clause 2 applies and the efforts match one to one.",,cross_ref_refresh_jul_2026
arc_agi_2,arc_agi_2:0008:gpt_5_6_sol_high,GPT-5.6 Sol (High),gpt-5.6-sol-2026-07-09-high,GPT-5.6 Sol (High),accepted,reviewed_2026_07_arc_refresh,high,OpenAI,2026-07-09,,reasoning_or_configured,high,reasoning,high,effort_to_effort,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory,"ARC states High and elo_refined.csv has the exact gpt-5.6-sol-2026-07-09-high tier, so clause 2 applies and the efforts match one to one.",,cross_ref_refresh_jul_2026
arc_agi_2,arc_agi_2:0009:gpt_5_6_sol_xhigh,GPT-5.6 Sol (xHigh),gpt-5.6-sol-2026-07-09-high,GPT-5.6 Sol (xHigh),variant-compatible,reviewed_2026_07_arc_refresh,medium,OpenAI,2026-07-09,,reasoning_or_configured,xhigh,reasoning,high,nearest-tier,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory; reasoning_effort_rule:README.md#stage-ownership,"ARC states xHigh, which has no LLM Chess tier for the GPT-5.6 Sol family, so clause 3 substitutes the highest available tier, gpt-5.6-sol-2026-07-09-high.","Effort conflict: no gpt-5.6-sol-2026-07-09-xhigh run exists, so the ARC xHigh configuration is compared against the -high tier. It shares gpt-5.6-sol-2026-07-09-high with the sibling High row, so max dedupe keeps whichever configuration scored higher on ARC-AGI-2.",cross_ref_refresh_jul_2026
