source_row_index,rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count,eval_id,eval_row_id,eval_model_label,eval_variant_label,score_numeric,green_rate_numeric,red_rate_numeric,score_label,llm_chess_player,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,has_numeric_score,made_accepted_mapping,joined_llm_chess_metric_row,made_metric_sample_pre_dedupe,survived_metric_dedupe,joined_llm_chess_row_with_non_null_elo,survived_elo_dedupe,metric_dedupe_kept_eval_row_id,elo_dedupe_kept_eval_row_id,has_llm_chess_match,has_llm_chess_elo,metric_drop_stage,metric_drop_side,metric_drop_reason,elo_drop_stage,elo_drop_side,elo_drop_reason,first_failed_stage,first_failed_side,first_failed_reason,provider_or_family_inferred
0,1,anthropic/claude-opus-4.8@reasoning=none,anthropic,none,1.93,0.95,0.01,95,4,1,100,0,bullshit_bench,bullshit_bench:0000:anthropic_claude_opus_4_8_reasoning_none,anthropic/claude-opus-4.8@reasoning=none,anthropic/claude-opus-4.8@reasoning=none,1.93,0.95,0.01,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench anthropic/claude-opus-4.8 reasoning=none.,No Claude Opus 4.8 in elo_refined.csv (newest opus is 4.7).,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",anthropic
1,2,anthropic/claude-opus-4.8@reasoning=xhigh,anthropic,xhigh,1.9233,0.94,0.01,94,5,1,100,0,bullshit_bench,bullshit_bench:0001:anthropic_claude_opus_4_8_reasoning_xhigh,anthropic/claude-opus-4.8@reasoning=xhigh,anthropic/claude-opus-4.8@reasoning=xhigh,1.9233,0.94,0.01,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,anthropic,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench anthropic/claude-opus-4.8 reasoning=xhigh.,No Claude Opus 4.8 in elo_refined.csv (newest opus is 4.7).,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",anthropic
2,3,anthropic/claude-sonnet-4.6@reasoning=high,anthropic,high,1.87,0.91,0.03,91,6,3,100,0,bullshit_bench,bullshit_bench:0002:anthropic_claude_sonnet_4_6_reasoning_high,anthropic/claude-sonnet-4.6@reasoning=high,anthropic/claude-sonnet-4.6@reasoning=high,1.87,0.91,0.03,BullshitBench avg_score,claude-sonnet-4-6_thinking-high,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking-high,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-sonnet-4.6 reasoning=high maps to elo claude-sonnet-4-6_thinking-high with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
3,4,anthropic/claude-sonnet-4.6@reasoning=none,anthropic,none,1.86,0.89,0.02,89,9,2,100,0,bullshit_bench,bullshit_bench:0003:anthropic_claude_sonnet_4_6_reasoning_none,anthropic/claude-sonnet-4.6@reasoning=none,anthropic/claude-sonnet-4.6@reasoning=none,1.86,0.89,0.02,BullshitBench avg_score,claude-sonnet-4-6,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-sonnet-4.6 reasoning=none maps to elo claude-sonnet-4-6 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
4,5,anthropic/claude-opus-4.5@reasoning=high,anthropic,high,1.8433,0.9,0.02,90,8,2,100,0,bullshit_bench,bullshit_bench:0004:anthropic_claude_opus_4_5_reasoning_high,anthropic/claude-opus-4.5@reasoning=high,anthropic/claude-opus-4.5@reasoning=high,1.8433,0.9,0.02,BullshitBench avg_score,claude-opus-4-5-20251101_thinking_16000,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,,thinking_16000,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.5 reasoning=high maps to elo claude-opus-4-5-20251101_thinking_16000 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
5,6,anthropic/claude-opus-4.6@reasoning=high,anthropic,high,1.8367,0.87,0.03,87,10,3,100,0,bullshit_bench,bullshit_bench:0005:anthropic_claude_opus_4_6_reasoning_high,anthropic/claude-opus-4.6@reasoning=high,anthropic/claude-opus-4.6@reasoning=high,1.8367,0.87,0.03,BullshitBench avg_score,claude-opus-4-6_thinking-high,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking-high,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.6 reasoning=high maps to elo claude-opus-4-6_thinking-high with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
6,7,anthropic/claude-opus-4.6@reasoning=none,anthropic,none,1.7933,0.83,0.03,83,14,3,100,0,bullshit_bench,bullshit_bench:0006:anthropic_claude_opus_4_6_reasoning_none,anthropic/claude-opus-4.6@reasoning=none,anthropic/claude-opus-4.6@reasoning=none,1.7933,0.83,0.03,BullshitBench avg_score,claude-opus-4-6,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.6 reasoning=none maps to elo claude-opus-4-6 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,False,False,,,True,False,,,,rows_joined_to_llm_chess_rows_with_non_null_elo,chess,The mapped LLM Chess player exists in the LLM Chess inputs but its Elo is missing.,rows_joined_to_llm_chess_rows_with_non_null_elo,chess,The mapped LLM Chess player exists in the LLM Chess inputs but its Elo is missing.,anthropic
7,8,anthropic/claude-opus-4.7@reasoning=none,anthropic,none,1.7833,0.83,0.04,83,13,4,100,0,bullshit_bench,bullshit_bench:0007:anthropic_claude_opus_4_7_reasoning_none,anthropic/claude-opus-4.7@reasoning=none,anthropic/claude-opus-4.7@reasoning=none,1.7833,0.83,0.04,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench anthropic/claude-opus-4.7 reasoning=none.,none row has no non-reasoning opus-4.7 counterpart; max mapped to the adaptive-thinking-high run (effort label differs).,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",anthropic
8,9,qwen/qwen3.5-397b-a17b@reasoning=high,qwen,high,1.7033,0.78,0.05,78,17,5,100,0,bullshit_bench,bullshit_bench:0008:qwen_qwen3_5_397b_a17b_reasoning_high,qwen/qwen3.5-397b-a17b@reasoning=high,qwen/qwen3.5-397b-a17b@reasoning=high,1.7033,0.78,0.05,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.5-397b-a17b reasoning=high.,"Only a 9B qwen3.5 distill in elo, not the hosted 397B-A17B model.",cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",qwen
9,10,anthropic/claude-sonnet-4.5@reasoning=high,anthropic,high,1.6767,0.79,0.08,79,13,8,100,0,bullshit_bench,bullshit_bench:0009:anthropic_claude_sonnet_4_5_reasoning_high,anthropic/claude-sonnet-4.5@reasoning=high,anthropic/claude-sonnet-4.5@reasoning=high,1.6767,0.79,0.08,BullshitBench avg_score,claude-sonnet-4-5_thinking_16000,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking_16000,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-sonnet-4.5 reasoning=high maps to elo claude-sonnet-4-5_thinking_16000 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
