source_row_index,Model,Score,90% CI,llm_chess_model,eci_ci_low,eci_ci_high,eci_ci90_half_width,eval_id,eval_row_id,eval_model_label,eval_variant_label,score_numeric,score_label,source_llm_chess_model
0,GPT-5.4 Pro,158.0,(156 - 161),,156.0,161.0,2.5,eci,eci:0000,GPT-5.4 Pro,GPT-5.4 Pro,158.0,ECI,
1,Gemini 3.1 Pro,157.0,(154 - 160),gemini-3.1-pro-preview,154.0,160.0,3.0,eci,eci:0001,Gemini 3.1 Pro,Gemini 3.1 Pro,157.0,ECI,gemini-3.1-pro-preview
2,GPT-5.4,156.0,(154 - 158),gpt-5.4-low,154.0,158.0,2.0,eci,eci:0002,GPT-5.4,GPT-5.4,156.0,ECI,gpt-5.4-low
3,Claude Opus 4.7,156.0,(153 - 158),,153.0,158.0,2.5,eci,eci:0003,Claude Opus 4.7,Claude Opus 4.7,156.0,ECI,
4,Claude Opus 4.6,155.0,(153 - 157),claude-opus-4-6_thinking-high,153.0,157.0,2.0,eci,eci:0004,Claude Opus 4.6,Claude Opus 4.6,155.0,ECI,claude-opus-4-6_thinking-high
5,Muse Spark,155.0,(151 - 158),,151.0,158.0,3.5,eci,eci:0005,Muse Spark,Muse Spark,155.0,ECI,
6,GPT-5.2 Pro,154.0,(151 - 158),,151.0,158.0,3.5,eci,eci:0006,GPT-5.2 Pro,GPT-5.2 Pro,154.0,ECI,
7,GPT-5.2,154.0,(152 - 156),gpt-5.2-medium,152.0,156.0,2.0,eci,eci:0007,GPT-5.2,GPT-5.2,154.0,ECI,gpt-5.2-medium
8,Gemini 3 Pro,153.0,(151 - 156),gemini-3-pro-preview,151.0,156.0,2.5,eci,eci:0008,Gemini 3 Pro,Gemini 3 Pro,153.0,ECI,gemini-3-pro-preview
9,Claude Sonnet 4.6,153.0,(148 - 155),claude-sonnet-4-6,148.0,155.0,3.5,eci,eci:0009,Claude Sonnet 4.6,Claude Sonnet 4.6,153.0,ECI,claude-sonnet-4-6
10,Gemini 3 Flash,151.0,(145 - 153),gemini-3-flash-preview,145.0,153.0,4.0,eci,eci:0010,Gemini 3 Flash,Gemini 3 Flash,151.0,ECI,gemini-3-flash-preview
11,GPT-5 Pro,150.0,(148 - 153),,148.0,153.0,2.5,eci,eci:0011,GPT-5 Pro,GPT-5 Pro,150.0,ECI,
12,GPT-5,150.0,,gpt-5-medium,,,,eci,eci:0012,GPT-5,GPT-5,150.0,ECI,gpt-5-medium
13,Claude Opus 4.5,150.0,(148 - 152),claude-opus-4-5-20251101_thinking_16000,148.0,152.0,2.0,eci,eci:0013,Claude Opus 4.5,Claude Opus 4.5,150.0,ECI,claude-opus-4-5-20251101_thinking_16000
14,GPT-5.1,150.0,(148 - 151),gpt-5.1-medium,148.0,151.0,1.5,eci,eci:0014,GPT-5.1,GPT-5.1,150.0,ECI,gpt-5.1-medium
15,Kimi K2.5,148.0,(146 - 149),kimi-k2.5,146.0,149.0,1.5,eci,eci:0015,Kimi K2.5,Kimi K2.5,148.0,ECI,kimi-k2.5
16,o3-pro,148.0,,,,,,eci,eci:0016,o3-pro,o3-pro,148.0,ECI,
17,MiniMax-M2.5,147.0,(145 - 149),minimax.minimax-m2.5,145.0,149.0,2.0,eci,eci:0017,MiniMax-M2.5,MiniMax-M2.5,147.0,ECI,minimax.minimax-m2.5
18,Grok 4,147.0,(145 - 150),grok-4-20-reasoning,145.0,150.0,2.5,eci,eci:0018,Grok 4,Grok 4,147.0,ECI,grok-4-20-reasoning
19,o3,147.0,,o3-medium,,,,eci,eci:0019,o3,o3,147.0,ECI,o3-medium
